arrest_key,arrest_date,pd_cd,pd_desc,ky_cd,ofns_desc,law_code,law_cat_cd,arrest_boro,arrest_precinct,jurisdiction_code,age_group,perp_sex,perp_race,x_coord_cd,y_coord_cd,latitude,longitude,lon_lat,:@computed_region_efsh_h5xi,:@computed_region_f5dn_yrer,:@computed_region_yeji_bk3q,:@computed_region_92fq_4b7q,:@computed_region_sbqj_enih
314809155,2025-10-21T00:00:00.000,106,ASSAULT POLICE/PEACE OFFICER,106,FELONY ASSAULT,PL 1200800,F,M,34,0,25-44,M,BLACK,1002448,253518,40.86250424,-73.93420941,"{'type': 'Point', 'coordinates': [-73.93420941, 40.86250424]}",13092,47,4,39,22
314830851,2025-10-21T00:00:00.000,478,"THEFT OF SERVICES, UNCLASSIFIE",343,OTHER OFFENSES RELATED TO THEFT,PL 1651503,M,K,77,1,25-44,M,BLACK,1003358,182945,40.66879784,-73.93112014,"{'type': 'Point', 'coordinates': [-73.93112014, 40.66879784]}",17615,17,2,48,44
314817442,2025-10-21T00:00:00.000,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0512000,M,Q,111,0,(null),(null),WHITE HISPANIC,1051156,216984,40.7619942,-73.75848182,"{'type': 'Point', 'coordinates': [-73.75848182, 40.7619942]}",14197,26,3,20,69
314808636,2025-10-21T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,S,120,0,(null),(null),BLACK,962808,174275,40.645005,-74.077265,"{'type': 'Point', 'coordinates': [-74.077265, 40.645005]}",10369,4,1,13,74
314840194,2025-10-21T00:00:00.000,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 120051X,F,K,73,0,18-24,M,BLACK,1008227,183789,40.671112,-73.913564,"{'type': 'Point', 'coordinates': [-73.913564, 40.671112]}",17614,55,2,17,46
314817446,2025-10-21T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,102,0,25-44,F,BLACK,1031076,193778,40.698439,-73.831129,"{'type': 'Point', 'coordinates': [-73.831129, 40.698439]}",24014,46,3,28,60
314849110,2025-10-21T00:00:00.000,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,32,0,25-44,M,BLACK,999439,236537,40.815913,-73.945124,"{'type': 'Point', 'coordinates': [-73.945124, 40.815913]}",12427,18,4,36,20
314817399,2025-10-21T00:00:00.000,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,B,48,0,(null),(null),BLACK,1011780,246837,40.844152,-73.9005,"{'type': 'Point', 'coordinates': [-73.9005, 40.844152]}",10935,35,5,22,31
314826934,2025-10-21T00:00:00.000,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,CPL5700600,9,Q,102,0,45-64,M,BLACK,1032501,198800,40.712215,-73.825953,"{'type': 'Point', 'coordinates': [-73.825953, 40.712215]}",24011,46,3,28,60
314857800,2025-10-21T00:00:00.000,748,"CONTEMPT,CRIMINAL",359,OFFENSES AGAINST PUBLIC ADMINI,PL 2155003,M,B,45,0,25-44,F,BLACK,1032140,242004,40.8308,-73.826947,"{'type': 'Point', 'coordinates': [-73.826947, 40.8308]}",11274,43,5,12,28
