arrest_key,arrest_date,ofns_desc,pd_desc,law_cat_cd,arrest_boro,arrest_precinct,age_group,perp_sex,perp_race,latitude,longitude,arrest_month,arrest_year,arrest_month_name,season,temp_category,borough_name,law_category
314854827,2025-10-21,Offenses Against The Person,Reckless Endangerment 2,M,B,40,(null),(null),WHITE HISPANIC,40.81258,-73.905873,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Bronx,Misdemeanor
314849110,2025-10-21,Assault 3 & Related Offenses,Assault 3,M,M,32,25-44,M,BLACK,40.815913,-73.945124,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Manhattan,Misdemeanor
314814257,2025-10-21,Other Offenses Related To Theft,"Theft Of Services, Unclassifie",M,Q,114,18-24,M,WHITE HISPANIC,40.753996,-73.94243045,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Queens,Misdemeanor
314814249,2025-10-21,Petit Larceny,"Larceny,Petit From Open Areas,",M,M,1,25-44,M,BLACK,40.719135,-74.010349,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Manhattan,Misdemeanor
314809155,2025-10-21,Felony Assault,Assault Police/Peace Officer,F,M,34,25-44,M,BLACK,40.86250424,-73.93420941,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Manhattan,Felony
314849095,2025-10-21,Burglar'S Tools,"Burglars Tools,Unclassified",M,K,70,25-44,M,BLACK,40.65484047,-73.95969634,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Brooklyn,Misdemeanor
314817446,2025-10-21,Assault 3 & Related Offenses,Assault 3,M,Q,102,25-44,F,BLACK,40.698439,-73.831129,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Queens,Misdemeanor
314830851,2025-10-21,Other Offenses Related To Theft,"Theft Of Services, Unclassifie",M,K,77,25-44,M,BLACK,40.66879784,-73.93112014,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Brooklyn,Misdemeanor
314808631,2025-10-21,Dangerous Weapons,"Weapons, Possession, Etc",M,Q,115,25-44,M,BLACK,40.77204822,-73.87622259,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Queens,Misdemeanor
314840194,2025-10-21,Felony Assault,"Assault 2,1,Unclassified",F,K,73,18-24,M,BLACK,40.671112,-73.913564,10,2025,October,Fall,"Mild (Apr-May, Oct-Nov)",Brooklyn,Felony
